ST.L ST.M ST.H DB.L DB.M DB.H OOP.L OOP.M OOP.H DS.L DS.M DS.H MIS.L MIS.M MIS.H
0.0 0.0 0.7 0.0 0.7 0.0 0.0 0.0 0.7 0.0 0.8 0.0 0.1 0.5 0.0
0.8 0.0 0.0 0.0 0.5 0.1 0.0 0.0 0.9 0.0 0.7 0.0 0.0 0.4 0.2
0.0 0.1 0.5 0.0 0.0 0.9 0.0 0.0 0.7 0.0 0.5 0.1 0.0 0.0 0.9
0.0 1.0 0.0 0.0 0.0 0.7 0.0 0.5 0.1 0.0 0.1 0.5 0.7 0.0 0.0
0.0 0.7 0.0 0.0 0.0 0.9 0.0 0.0 0.8 0.0 0.9 0.0 0.0 0.5 0.1
0.4 0.2 0.0 0.0 0.7 0.0 0.0 0.0 0.7 0.8 0.0 0.0 0.0 0.0 0.8
0.2 0.4 0.0 0.0 0.0 0.8 0.0 0.8 0.0 0.0 0.8 0.0 0.0 0.4 0.2
0.0 0.0 0.7 0.6 0.0 0.0 0.5 0.1 0.0 0.0 0.1 0.5 0.0 0.0 0.7
0.0 0.8 0.0 0.4 0.2 0.0 0.0 0.5 0.1 0.0 0.0 0.8 0.0 0.0 0.8
0.0 0.5 0.1 0.6 0.0 0.0 0.6 0.0 0.0 0.0 0.0 0.6 0.0 0.0 0.9
